Designator,Mid X,Mid Y,Rotation,Layer
R44,83.6,-76.75,180.0,top
R45,80.5,-76.75,0.0,top
R46,107.7,-82.9,90.0,top
R47,105.2,-87.2,90.0,top
R48,87.2,-74.5,270.0,top
R49,65.4,-74.35,270.0,top
R50,102.8,-90.0,0.0,top
R51,85.3,-109.0,90.0,top
R52,65.69,-114.63,180.0,top
R53,100.5,-89.25,90.0,top
R54,88.95,-112.85,90.0,top
R55,59.2,-119.1,90.0,top
R56,56.0,-120.3,270.0,top
R57,61.2,-129.3,270.0,top
R58,58.5,-122.9,180.0,top
R59,58.5,-124.4,0.0,top
R6,122.6,-70.1,270.0,top
R60,64.9,-133.2,180.0,top
R61,65.0,-117.3,90.0,top
R62,54.0,-115.4,270.0,top
R63,54.0,-112.4,90.0,top
R64,88.25,-145.5,90.0,top
R65,104.55,-108.9,90.0,top
R66,62.25,-70.5,270.0,top
R67,64.975,-68.7,0.0,top
R68,65.0,-71.0,0.0,top
R69,73.8,-70.1,270.0,top
R7,117.4,-71.4,180.0,top
R70,76.1,-71.3,180.0,top
R71,66.1,-67.1,180.0,top
R72,76.5,-68.0,90.0,top
R73,94.9,-56.6,270.0,top
R74,66.1,-65.6,180.0,top
R75,79.5,-62.7,90.0,top
R76,79.5,-59.7,270.0,top
R77,66.9,-73.8,270.0,top
R78,74.8,-58.4,90.0,top
R79,96.4,-56.6,270.0,top
R8,117.4,-69.9,180.0,top
R80,87.1,-108.1,90.0,top
R81,92.25,-113.5,180.0,top
R82,92.9675,-111.545,0.0,top
R83,119.0,-76.475,270.0,top
R84,115.9,-74.175,0.0,top
R85,142.7,-87.3,180.0,top
R86,140.3,-93.7,270.0,top
R87,140.4,-90.7,90.0,top
R88,142.7,-90.3,0.0,top
R89,139.75,-96.675,270.0,top
R9,100.075,-78.05,0.0,top
R90,140.2,-79.5,90.0,top
R91,139.4,-84.2,90.0,top
R92,140.1,-81.9,0.0,top
R93,137.5,-108.5,180.0,top
R94,138.4,-102.9,270.0,top
R95,132.1,-103.2,0.0,top
R96,132.4,-106.8,180.0,top
R97,132.1,-101.7,180.0,top
R98,131.85,-98.65,180.0,top
R99,140.0,-102.7,270.0,top
U1,101.75,-82.25,270.0,top
U10,116.75,-89.425,180.0,top
U11,75.25,-95.7,90.0,top
U12,116.5,-83.175,270.0,top
U13,93.7,-86.1125,270.0,top
U14,123.2975,-85.82,180.0,top
U15,60.0,-106.25,0.0,top
U16,102.615,-87.2,270.0,top
U17,83.85,-73.1,270.0,top
U18,83.4,-61.335,0.0,top
U19,61.8,-121.5,180.0,top
U2,100.0,-67.0,270.0,top
U20,72.0,-125.25,270.0,top
U21,106.25,-56.5,0.0,top
U22,70.3,-69.4,180.0,top
U23,116.5,-76.975,270.0,top
U24,142.8,-92.5,0.0,top
U25,142.4,-97.6,90.0,top
U26,135.75,-105.5,270.0,top
U27,136.9,-99.6,180.0,top
U28,129.1,-95.45,270.0,top
U29,134.5,-93.1,180.0,top
U3,86.7,-84.6,270.0,top
U30,137.3,-87.4,180.0,top
U31,123.9,-81.075,180.0,top
U32,131.2,-81.6,180.0,top
U33,127.75,-77.0,0.0,top
U34,145.65,-86.45,270.0,top
U35,143.25,-106.75,180.0,top
U4,109.27,-57.335,180.0,top
U5,114.9,-59.685,180.0,top
U6,128.78,-63.47,180.0,top
U7,111.03,-90.9475,180.0,top
U8,64.88,-88.295,90.0,top
U9,71.312,-82.025,0.0,top
Y1,87.25,-62.25,0.0,top
Y2,85.75,-67.0,270.0,top
Y3,83.775,-80.75,0.0,top
